Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Ausländeranteil bei Verurteilten in Deutschland nach Straftaten 2023,,,
,Anteil der ausländischen gerichtlich Verurteilten in Deutschland nach Straftaten im Jahr 2023,,,
,,,,
,Diebstahl und Unterschlagung,52.5,in %,
,Urkundenfälschung,50.3,in %,
,Begünstigung und Hehlerei,42.8,in %,
,"Raub und Erpressung, räuber. Angriff auf Kraftfahrer",40.7,in %,
,Straftaten nach anderen Bundes- und Landesgesetzen,40.6,in %,
,Insgesamt,38.9,in %,
,Straftaten gegen das Leben,38.9,in %,
,Straftaten gegen die Umwelt,38.6,in %,
,Straftaten im Straßenverkehr (nach StGB und StVG),37.0,in %,
,Straftaten gegen die körperliche Unversehrtheit,36.1,in %,
,Betrug und Untreue,34.4,in %,
,Straftaten gegen die persönliche Freiheit,32.4,in %,
,Sonstige Straftaten gegen das Vermögen,30.0,in %,
,"Straftaten gegen den Staat, die öffentliche Ordnung und im Amt",28.5,in %,
,Straftaten gegen die sexuelle Selbstbestimmung,28.5,in %,
,Sonstige Straftaten gegen die Person,27.6,in %,
,Gemeingefährliche Straftaten,25.8,in %,
,Beleidigung,23.9,in %,
,,,,
,Statistik als Exceldatei,,,
,Anteil der ausländischen gerichtlich Verurteilten in Deutschland nach Straftaten im Jahr 2023,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Bei Diebstahl und Unterschlagung betrug der Anteil der ausländischen gerichtlich Verurteilten in Deutschland im Jahr 2023 52,5 Prozent. Damit war dies die Straftat mit dem höchsten Ausländeranteil bei den Verurteilten; am niedrigsten war er hingegen bei Beleidigung mit 23,9 Prozent. Insgesamt betrug er 38,9 Prozent. "
,Quelle,Statistisches Bundesamt,,
,Erhebung durch,Statistisches Bundesamt,,
,Erhebungszeitraum,2023,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,n.a.,,
,Hinweis,n.a.,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Statistisches Bundesamt,,
,Veröffentlichungsdatum,Januar 2025,,
,Herkunftsverweis,"Statistischer Bericht Strafverfolgung 2023, 24311-46",,
,ID,1617286,,
