Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,Ausländeranteil bei Verurteilten in Deutschland bis 2023,,,
,Anteil der ausländischen gerichtlich Verurteilten in Deutschland von 2013 bis 2023,,,
,,,,
,2013,24.5,in %,
,2014,26.0,in %,
,2015,28.3,in %,
,2016,31.4,in %,
,2017,32.5,in %,
,2018,34.0,in %,
,2019,35.1,in %,
,2020,35.4,in %,
,2021,36.0,in %,
,2022,36.9,in %,
,2023,38.9,in %,
,,,,
,Statistik als Exceldatei,,,
,Anteil der ausländischen gerichtlich Verurteilten in Deutschland von 2013 bis 2023,,,
,zu den Daten,,,
,,,,
,,,,
,Quellenangaben,,,Beschreibung
,,,," Im Jahr 2023 betrug der Anteil der ausländischen gerichtlich Verurteilten in Deutschland 38,9 Prozent. Damit erreichte der Ausländeranteil bei den Verurteilten einen erneuten Höchststand, nachdem er schon in den Vorjahren kontinuierlich gestiegen war. Bei der Interpretation sollten der steigende Ausländeranteil in Deutschland , soziodemografische Unterschiede zwischen deutscher und nicht-deutscher Bevölkerung sowie der Eingang nicht in Deutschland wohnhafter Personen berücksichtigt werden. 
 Was sind Verurteilte? 
 Verurteilte sind laut Quelle Straffällige, gegen die nach allgemeinem Strafrecht eine Freiheitsstrafe, Strafarrest und / oder Geldstrafe verhängt worden ist oder deren Straftat  nach Jugendstrafrecht mit Jugendstrafe und / oder Maßnahmen geahndet wurde. Maßnahmen im Sinne des Jugendgerichtsgesetzes sind Zuchtmittel und Erziehungsmaßregeln; sie können nebeneinander angeordnet werden. 
 Weitere Statistiken, Themenseiten und Reporte 
 Weitere Informationen finden Sie u. a. auf unseren Themenseiten zum Strafvollzug in Deutschland und zur Justiz und Rechtspflege in Deutschland . Vielfältige Informationen, Statistiken und Daten zu diversen Kriminalitätsfeldern sind in unseren Themenseiten und Reporten zur Kriminalität zusammengestellt. "
,Quelle,Statistisches Bundesamt,,
,Erhebung durch,Statistisches Bundesamt,,
,Erhebungszeitraum,2013 bis 2023,,
,Region,Deutschland,,
,Art der Befragung,n.a.,,
,Anzahl der Befragten,n.a.,,
,Altersgruppe,n.a.,,
,Besondere Eigenschaften,n.a.,,
,Hinweis,n.a.,,
,,,,
,Veröffentlichung,,,
,,,,
,Veröffentlichung durch,Statistisches Bundesamt,,
,Veröffentlichungsdatum,Januar 2025,,
,Herkunftsverweis,"Statistischer Bericht Strafverfolgung 2023, 24311-01",,
,ID,223,,
